     PKT_No. 	    TimeStamp 	    ax(m/s^2) 	    ay(m/s^2) 	    az(m/s^2) 	    gx(rad/s) 	    gy(rad/s) 	    gz(rad/s) 
        10373 	        4.080 	         0.03 	         0.38 	         9.85 	        -0.00 	        -0.00 	        -0.00 
        10374 	        4.096 	         0.01 	         0.35 	         9.86 	        -0.00 	         0.00 	         0.00 
        10375 	        4.112 	         0.01 	         0.37 	         9.84 	         0.01 	         0.00 	         0.00 
        10376 	        4.128 	        -0.03 	         0.33 	         9.85 	         0.00 	         0.00 	         0.00 
        10377 	        4.144 	         0.02 	         0.37 	         9.87 	         0.00 	        -0.00 	         0.00 
        10378 	        4.160 	         0.03 	         0.36 	         9.85 	         0.00 	         0.00 	         0.00 
        10379 	        4.176 	         0.02 	         0.37 	         9.86 	         0.00 	        -0.00 	         0.00 
        10380 	        4.192 	         0.03 	         0.40 	         9.85 	        -0.00 	        -0.00 	         0.00 
        10381 	        4.208 	        -0.00 	         0.36 	         9.87 	        -0.00 	         0.00 	         0.00 
        10382 	        4.224 	         0.00 	         0.37 	         9.87 	         0.00 	        -0.00 	         0.00 
        10383 	        4.240 	        -0.02 	         0.36 	         9.85 	        -0.00 	         0.00 	         0.00 
        10384 	        4.256 	        -0.00 	         0.35 	         9.86 	         0.00 	         0.00 	        -0.00 
        10385 	        4.272 	         0.01 	         0.37 	         9.84 	         0.00 	         0.00 	        -0.00 
        10386 	        4.288 	         0.00 	         0.37 	         9.85 	         0.01 	        -0.00 	        -0.00 
        10387 	        4.304 	         0.02 	         0.38 	         9.87 	        -0.00 	        -0.00 	         0.00 
        10388 	        4.320 	         0.03 	         0.36 	         9.86 	         0.00 	         0.00 	         0.00 
        10389 	        4.336 	         0.01 	         0.36 	         9.85 	         0.00 	        -0.00 	         0.00 
        10390 	        4.352 	         0.01 	         0.37 	         9.87 	        -0.00 	         0.00 	         0.00 
        10391 	        4.368 	         0.01 	         0.36 	         9.85 	        -0.00 	         0.00 	         0.00 
